Obj1_Feat1,Obj1_Feat2,Obj1_Feat3,Obj1_Feat4,Obj1_Feat5,Obj1_Feat6,Obj1_Feat7,Obj1_Feat8,Obj1_Feat9,Obj2_Feat1,Obj2_Feat2,Obj2_Feat3,Obj2_Feat4,Obj2_Feat5,Obj2_Feat6,Obj2_Feat7,Obj2_Feat8,Obj2_Feat9,Collision,pred
C,B,2,1,0,D,0,1,15.25895199188555,C,A,5,0,1,C,1,1,89.01439382442078,Нет,0
D,C,1,1,1,B,1,1,72.30301947486272,C,B,2,0,0,C,1,0,33.41418204476126,Нет,0
D,B,3,1,0,A,0,0,27.732355357892867,C,C,2,1,0,B,1,0,60.62595671813828,Нет,1
D,C,1,1,1,A,0,1,19.826432799864136,A,C,1,0,1,A,0,1,13.658286507979913,Да,1
C,C,1,1,0,A,0,1,26.451525369097872,B,A,2,0,0,C,0,0,82.11988802603727,Нет,0
C,A,4,1,0,D,1,0,51.71152171446516,A,A,1,0,0,D,0,0,99.67044371532322,Да,1
B,D,4,0,0,B,0,1,21.981670863617563,B,B,5,1,1,A,1,0,17.19151407609123,Нет,0
D,A,4,0,1,A,0,1,35.6987326962971,B,B,4,0,1,A,0,1,34.392061875223625,Да,1
D,A,2,1,0,C,0,1,93.7099080770262,C,B,5,0,0,B,1,1,96.26410531665104,Нет,0
D,A,4,1,1,C,1,0,45.74089340895024,A,D,5,1,0,B,1,0,99.06727087709888,Нет,0
D,C,1,1,1,A,0,1,85.32742604631807,B,B,2,0,1,C,0,0,95.63916578281786,Нет,0
D,C,5,1,0,A,0,1,25.60005216507604,D,D,4,0,0,B,0,0,38.58300265378541,Нет,0
D,D,3,1,1,A,1,0,37.32199788998024,B,D,4,1,0,D,1,0,19.215371454795573,Да,1
A,B,2,1,0,C,0,1,76.31438252595008,C,B,1,1,0,A,1,1,47.25890342694866,Да,1
C,A,3,1,1,D,0,0,35.9715792580254,A,C,2,0,0,A,1,1,34.77833948312542,Нет,0
B,C,5,1,0,C,0,1,8.624415894086646,D,C,3,0,1,A,1,1,15.80448612872203,Нет,0
B,B,4,0,0,B,1,0,30.08777305911021,A,D,2,1,0,B,1,1,5.135692194753593,Нет,0
B,C,3,0,0,A,1,0,68.77455584178405,C,C,1,1,1,A,1,0,80.46756425754225,Да,0
D,D,5,0,0,C,1,0,76.76096625666446,A,D,1,1,1,A,1,0,41.642088900803465,Нет,0
C,A,1,1,0,C,0,0,7.463653472589282,D,A,3,1,1,A,0,1,75.66210578335796,Нет,0
C,D,3,0,1,A,1,0,0.0172871696227483,D,B,3,0,1,C,0,0,67.68103785788868,Да,1
B,C,1,1,0,D,0,1,22.2729188704379,C,A,2,1,0,B,1,1,76.32670461366958,Нет,0
D,D,2,1,0,C,0,0,2.027760744128304,C,A,2,1,0,C,1,1,65.78441353636238,Да,0
A,A,5,0,1,C,1,0,93.80686884845858,B,C,4,0,1,C,1,1,56.27236967878291,Да,1
D,B,2,0,1,A,0,0,70.32364105108138,A,A,3,0,1,B,1,0,34.62760985639285,Нет,0
C,D,3,1,0,D,1,0,96.28273832483448,B,C,1,0,1,C,0,1,6.066315278276746,Нет,0
D,C,4,1,1,D,1,1,6.074596947428191,A,A,5,0,0,C,0,0,83.70899168721411,Нет,0
C,A,1,1,1,D,0,0,88.3583978861835,B,B,3,0,0,D,0,1,97.46082100618612,Нет,0
A,C,4,0,0,B,0,1,26.037944848937045,A,B,5,0,1,C,0,1,99.21291344525122,Да,1
B,B,4,0,0,B,0,1,90.06942931828863,C,D,3,1,0,A,0,0,31.466628916476235,Нет,0
A,D,5,0,1,C,1,0,4.960964641986642,C,A,1,1,0,B,0,1,74.30441190999886,Нет,0
A,B,1,0,1,C,0,1,50.646472851103816,B,C,4,1,0,C,0,1,82.8378062998072,Нет,0
B,B,4,0,1,D,1,1,46.88428486688516,D,D,5,1,1,C,0,0,54.89924865292279,Нет,0
C,B,1,1,0,D,0,0,19.72193618547794,D,A,1,1,0,B,1,0,47.030766106427095,Да,1
C,C,4,1,1,A,1,0,44.71205132180332,D,B,3,1,1,C,1,0,52.22625367697268,Да,1
C,D,4,0,1,B,1,1,84.98215700407651,A,A,5,0,0,D,1,1,66.60791131307853,Нет,0
B,B,5,0,0,C,1,0,27.575901422225947,A,D,5,0,1,A,1,1,31.79039362326197,Нет,0
C,C,2,1,0,A,0,0,97.05481984655842,A,C,1,0,0,D,1,1,5.906092996532808,Нет,0
C,B,3,0,0,D,1,0,10.226854964260168,B,A,5,1,1,D,0,1,46.2947320585381,Нет,0
D,B,4,1,1,A,1,0,21.22310935915268,B,A,2,0,0,B,0,1,53.86866756455242,Нет,0
C,B,3,0,0,A,1,0,27.2780958158387,B,D,1,1,0,D,0,0,27.530283871610127,Нет,0
A,C,1,1,0,A,1,1,49.38455918941309,B,B,2,0,0,C,0,0,32.456992033989884,Нет,0
C,C,1,0,1,B,0,1,28.02607992013131,B,A,4,1,0,C,0,0,22.314459644464456,Нет,0
D,D,1,0,1,C,0,1,75.88197810351224,C,C,2,1,0,D,1,0,90.08884645210983,Нет,0
A,B,1,0,0,D,0,1,78.23626437871928,C,C,5,1,0,B,0,0,14.528176576399987,Нет,0
A,D,5,1,0,B,0,0,41.90995029339343,C,B,4,1,1,C,0,1,93.31981991170832,Нет,0
D,B,4,1,0,A,1,1,70.22382990363731,D,D,2,1,0,B,1,0,41.889261321591945,Да,1
B,B,3,1,0,D,1,0,85.87658235449575,D,A,4,1,1,C,0,0,6.300328791144116,Нет,0
D,B,1,0,0,C,1,0,78.58491166237953,B,A,4,1,1,C,1,1,66.86479458373728,Нет,0
A,A,3,0,1,D,1,1,99.92152836508971,D,D,2,1,1,A,0,0,61.5326073745284,Нет,0
B,A,3,1,0,C,0,0,67.81148108996739,C,A,3,0,0,D,0,1,83.9799198788395,Да,1
C,D,4,1,1,D,1,0,97.43649764859236,A,B,1,1,1,A,1,1,23.74310140491457,Нет,0
D,D,3,0,0,A,1,1,59.45761008952945,C,A,3,0,1,B,0,1,49.344457021417135,Нет,0
C,C,3,0,1,C,0,1,19.18656858541265,A,A,2,0,0,A,0,0,1.85018571817096,Нет,0
D,A,3,1,0,B,1,0,55.7517629922716,D,B,4,0,0,D,1,1,20.42116789153421,Нет,0
B,A,5,1,0,A,0,1,87.52089446739245,A,A,1,0,1,A,0,1,80.78081379896466,Да,1
A,A,4,1,1,D,1,1,3.302325310791898,B,D,5,1,0,A,1,0,33.50434158454847,Нет,0
C,D,3,0,0,A,0,1,13.730769100978858,A,B,5,1,1,A,1,0,6.722680658846835,Нет,0
C,D,4,0,0,D,1,0,58.45652233985006,B,B,5,0,1,A,0,1,13.454892852545708,Нет,0
A,B,4,0,1,D,1,1,33.33627092513139,B,D,4,1,1,A,0,1,22.54598781143553,Нет,0
D,D,1,0,1,A,1,0,93.26595163522764,D,A,5,0,0,D,1,1,20.74932232829661,Нет,0
A,D,5,1,0,A,1,1,68.96075877473416,C,D,4,1,1,D,0,1,67.29390627599874,Нет,0
A,B,1,1,1,C,1,1,29.83889695481291,C,D,1,1,0,D,1,1,40.22989811560871,Да,1
C,D,1,1,0,C,0,1,52.96874658373604,D,C,2,0,1,A,1,0,25.175815630954222,Нет,0
C,B,3,0,0,D,0,0,21.645430271624576,A,B,5,1,0,A,1,1,37.05801563601283,Нет,0
D,B,3,1,0,B,1,0,41.95165730423454,A,C,1,1,1,D,0,1,78.8418239655414,Нет,0
B,D,3,0,0,A,1,1,3.631105672536117,B,C,2,0,0,B,1,0,75.75796671625567,Да,1
C,D,5,0,0,B,1,0,35.35065597581335,C,A,5,1,0,B,0,0,35.24875346190671,Да,0
A,A,5,1,0,D,1,1,59.34002515905973,C,B,1,0,1,C,1,1,46.51173314186345,Нет,0
B,D,3,1,1,C,1,1,0.7320730558577182,A,B,5,0,1,C,0,1,42.69273269484368,Нет,0
C,C,5,1,1,D,0,0,30.242395997433725,D,D,4,1,1,A,1,0,29.363464037618197,Нет,0
C,D,5,0,1,C,0,1,86.81656107905296,B,A,3,0,0,B,0,0,42.57625483724551,Нет,0
D,D,3,0,0,D,0,0,91.161858380035,C,D,1,0,1,D,1,0,64.1893930528891,Да,1
D,B,4,1,0,A,1,1,21.145879652319238,C,B,4,1,0,C,1,0,86.76284705154357,Да,1
